cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2025/t2,41550195,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2025/t3,41765100,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2025/t4,42134747,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2005/t1,4006615,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2005/t2,4310517,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2005/t3,4310581,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2005/t4,4390635,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2006/t1,4541641,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2006/t2,4556366,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2006/t3,4912767,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2006/t4,4806141,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2007/t1,5029941,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2007/t2,4860811,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2007/t3,4824316,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2007/t4,5045675,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2008/t1,4960359,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2008/t2,4689314,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2008/t3,5083210,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2008/t4,5279730,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2009/t1,5624290,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2009/t2,5836534,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2009/t3,5433973,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2009/t4,5854811,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2010/t1,5611563,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2010/t2,5604906,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2010/t3,5484957,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2010/t4,6090107,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2011/t1,5884216,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2011/t2,6043908,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2011/t3,5935327,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2011/t4,6024914,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2012/t1,5929577,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2012/t2,5874063,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2012/t3,5772568,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2012/t4,6022697,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2013/t1,6056961,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2013/t2,6064296,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2013/t3,5832310,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2013/t4,5999361,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2014/t1,5801827,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2014/t2,5676437,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2014/t3,5666427,Número de personas
